securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,hasIssuerRating,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
NZD - Spendable Cash,,,C,0.00071,43844.0,26370.0,43844.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,New Zealand Dollar,26370.0,
EUR - Spendable Cash,,,C,0.0005,15892.0,18770.0,15892.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,EUR,EUR,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Euro,18770.0,
Cash Offset,,,CQ,0.00043,16004.0,16004.0,,,,,,,,,,,,Other,,,,,,,,,,USD,USD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,,16004.0,
Msci Sing Ix Ets Feb 26,,,EL,0.0,30.0,0.0,30.0,,,,,,,,,,,Other,SGXDB2059283,,,,,,,2026-02-26T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Singapore Dollar,0.0,
SPI 200 MAR 26,,,EL,0.0,32.0,0.0,32.0,,,,,,,,,,,Other,,,,,,,,2026-03-19T05:00:00.000,,AUD,AUD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Australian Dollar,0.0,
MSCI Hong Kong USD Net Total Return Future Mar 26,,,EL,0.0,17.0,0.0,17.0,Germany,,,,,,,,,,Other,DE000C7RFUQ8,,,,,,,2026-03-20T05:00:00.000,,USD,USD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,0.0,
NZD/USD Sold,,,CU,-0.00287,176778.0,-106642.0,176778.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-18T06:00:00.000,,USD,NZD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,-106642.0,
SGD - Spendable Cash,,,C,-0.00806,379688.0,-300054.0,-379688.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Singapore Dollar,-300054.0,
USD - OTHER PAYABLES/RECEIVABLES,,,C,-0.00879,327182.0,-327182.0,-327182.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,USD,USD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,-327182.0,
SGD/USD Sold,,,CU,-0.01504,706647.0,-559657.0,706647.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-20T06:00:00.000,,USD,SGD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,-559657.0,
HKD/USD Sold,,,CU,-0.02425,7051755.0,-902295.0,7051755.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-23T06:00:00.000,,USD,HKD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,-902295.0,
HKD/USD Sold,,,CU,-0.02478,7206648.0,-922012.0,7206648.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-20T06:00:00.000,,USD,HKD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,-922012.0,
HKD - Spendable Cash,,,C,-0.02616,7608345.0,-973494.0,-7608345.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,-973494.0,
AUD - Spendable Cash,,,C,-0.08907,4705945.0,-3314632.0,-4705945.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2026-02-18T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,Australian Dollar,-3314632.0,
AUD/USD Sold,,,CU,-0.10512,5533471.0,-3911926.0,5533471.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2026-02-18T06:00:00.000,,USD,AUD,,,,0,_PO_,,,False,,,,0,,,,,,,,,,,,,,US Dollar,-3911926.0,
