,securityName,secId,performanceId,holdingTypeId,weighting,numberOfShare,marketValue,shareChange,country,ticker,totalReturn1Year,forwardPERatio,stockRating,assessment,economicMoat,sector,sectorCode,holdingTrend,holdingType,isin,cusip,secondarySectorId,superSectorName,primarySectorName,secondarySectorName,firstBoughtDate,maturityDate,coupon,currency,localCurrencyCode,prospectusNetExpenseRatio,oneYearReturn,morningstarRating,ePUsedForOverallRating,analystRating,medalistRating,medalistRatingLabel,overallRatingPublishDateUtc,totalAssets,ttmYield,epUsedFor1YearReturn,morningstarCategory,totalAssetsMagnitude,lastTurnoverRatio,susEsgRiskScore,susEsgRiskGlobes,esgAsOfDate,susEsgRiskCategory,managementExpenseRatio,qualRating,quantRating,bestRatingType,securityType,domicileCountryId,currencyName,originalMarketValue,isMomentumFilterFlag
96,AUD - Other Payables/Receivables,,,C,0.28108,14221697.0,9438229.0,14221697.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,AUD,AUD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Australian Dollar,9438229.0,
97,AUD/USD Purchased,,,CU,0.20544,6898135.0,6898135.0,6898135.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,6898135.0,
98,HKD - Spendable Cash,,,C,0.15978,41749014.0,5365094.0,41749014.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,5365094.0,
99,SGD - Spendable Cash,,,C,0.13721,5969165.0,4607082.0,5969165.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Singapore Dollar,4607082.0,
100,MSCI Hong Kong USD Net Total Return Future Dec 25,,,EL,0.11873,53.0,3986660.0,53.0,Germany,,,,,,,,,,Other,DE000C7H17E4,,,,,,,2025-12-19T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,3986660.0,
101,AUD/USD Purchased,,,CU,0.10317,3464328.0,3464328.0,3464328.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-11T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,3464328.0,
102,AUD/USD Purchased,,,CU,0.10272,3449068.0,3449068.0,3449068.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,3449068.0,
103,Msci Sing Ix Ets Dec 25,,,EL,0.10121,101.0,3398368.0,101.0,,,,,,,,,,,Other,SGXDB1767522,,,,,,,2025-12-30T06:00:00.000,,SGD,SGD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Singapore Dollar,3398368.0,
104,HKD/USD Purchased,,,CU,0.0493,1655393.0,1655393.0,1655393.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,1655393.0,
105,CASH COLLATERAL USD MLIFT,,,CA,0.04095,1375000.0,1375000.0,1375000.0,United Kingdom,,,,,,,,,,Other,,,501024,cashAndEquivalents,cashAndEquivalents,Collateral,,2049-12-31T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,1375000.0,
106,NZD - Spendable Cash,,,C,0.02893,1681175.0,971467.0,1681175.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,NZD,NZD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,New Zealand Dollar,971467.0,
107,SGD/USD Purchased,,,CU,0.02876,965741.0,965741.0,965741.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,965741.0,
108,HKD - Other Payables/Receivables,,,C,0.02702,7060322.0,907310.0,7060322.0,United States,,,,,,,,,,Other,,,501011,cashAndEquivalents,cashAndEquivalents,Cash,,2025-12-11T06:00:00.000,,HKD,HKD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,Hong Kong Dollar,907310.0,
109,AUD/USD Purchased,,,CU,0.02668,895927.0,895927.0,895927.0,,,,,,,,,,,Other,,,602030,derivative,Future/Forward,Currency Forward/Future,,2025-12-12T06:00:00.000,,USD,USD,,,,0,_PO_,,,,,,0,,,,,,,,,,,,,,US Dollar,895927.0,
